Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
7.08,79.9,Keenan Allen,Keenan,Allen,LAC,WR,,,,81,,,Keenan Allen LAC WR,WR30
7.09,80.5,Skyy Moore,Skyy,Moore,KC,WR,,,,82,,,Skyy Moore KC WR,WR31
7.10,81.6,Amari Cooper,Amari,Cooper,CLE,WR,,,,83,,,Amari Cooper CLE WR,WR32
7.10,81.6,AJ Dillon,AJ,Dillon,GB,RB,,,,84,,,AJ Dillon GB RB,RB25
7.12,83.5,Darnell Mooney,Darnell,Mooney,CHI,WR,,,,85,,,Darnell Mooney CHI WR,WR33
8.01,85.2,Christian Watson,Christian,Watson,GB,WR,,,,86,,,Christian Watson GB WR,WR34
8.02,85.5,Pat Freiermuth,Pat,Freiermuth,PIT,TE,,,,87,,,Pat Freiermuth PIT TE,TE7
8.02,85.9,James Conner,James,Conner,ARI,RB,,,,88,,,James Conner ARI RB,RB26
8.03,87.0,Dallas Goedert,Dallas,Goedert,PHI,TE,,,,89,,,Dallas Goedert PHI TE,TE8
8.04,88.4,Dalton Schultz,Dalton,Schultz,DAL,TE,,,,90,,,Dalton Schultz DAL TE,TE9
8.05,88.7,Tom Brady,Tom,Brady,TB,QB,,,,91,,,Tom Brady TB QB,QB22
8.06,90.0,Brandon Aiyuk,Brandon,Aiyuk,SF,WR,,,,92,,,Brandon Aiyuk SF WR,WR35
8.07,90.6,James Cook,James,Cook,BUF,RB,,,,93,,,James Cook BUF RB,RB27
8.10,93.7,Courtland Sutton,Courtland,Sutton,DEN,WR,,,,94,,,Courtland Sutton DEN WR,WR36
8.10,94.1,Mike Williams,Mike,Williams,LAC,WR,,,,95,,,Mike Williams LAC WR,WR37
9.03,99.1,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,KC,RB,,,,96,,,Clyde Edwards-Helaire KC RB,RB28
9.03,99.2,JuJu Smith-Schuster,JuJu,Smith-Schuster,KC,WR,,,,97,,,JuJu Smith-Schuster KC WR,WR38
9.04,100.1,Ryan Tannehill,Ryan,Tannehill,TEN,QB,,,,98,,,Ryan Tannehill TEN QB,QB23
9.05,100.6,DeAndre Hopkins,DeAndre,Hopkins,ARI,WR,,,,99,,,DeAndre Hopkins ARI WR,WR39
9.05,100.7,George Pickens,George,Pickens,PIT,WR,,,,100,,,George Pickens PIT WR,WR40
9.05,101.4,Michael Thomas,Michael,Thomas,NO,WR,,,,101,,,Michael Thomas NO WR,WR41
